CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down_bfragmentation, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0020712988916784525" 
0, mujets, down_bfragmentation, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0017278353916481137" 
0, mujets, down_bfragmentation, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0033322833478450775" 
0, mujets, down_bfragmentation, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0022859286982566118" 
0, mujets, down_bfragmentation, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0015640183119103312" 
0, mujets, down_btempcorr, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0084699029102921486" 
0, mujets, down_btempcorr, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0055438317358493805" 
0, mujets, down_btempcorr, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0031086124945431948" 
0, mujets, down_btempcorr, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0029392470605671406" 
0, mujets, down_btempcorr, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0016419565072283149" 
0, mujets, down_btempcorr, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.00072403490776196122" 
0, mujets, down_btempcorr, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0025717681273818016" 
0, mujets, down_btempcorr, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0015425661113113165" 
0, mujets, down_btempcorr, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0028765196911990643" 
0, mujets, down_btempcorr, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0033879613038152456" 
0, mujets, down_btempcorr, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0022175326012074947" 
0, mujets, down_btempcorr, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.893128*((1.+(0.0295014*x))/(1.+(0.0256458*x))))-0.0012434449745342135" 
